,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno
564,4,4,3,265.0,-17.657677,-63.166737,160000.0,Desconocido,Desconocido,265.0
566,6,4,2,267.0,-17.810558,-63.222637,155500.0,Desconocido,Desconocido,267.0
569,4,2,2,237.0,-17.792973,-63.195515,217500.0,BARRIO URBARI,Distrito Municipal 4Â ,237.0
574,5,3,1,308.0,-17.735741,-63.174004,140000.0,Barrio Santa Isabel.,Distrito 5,300.0
575,5,5,2,265.0,-17.758455,-63.0966,185000.0,Barrio La Purisima,Distrito 6,450.0
577,4,3,4,360.0,-17.744518,-63.160744,180000.0,Barrio Santa Isabel.,Distrito 5,360.0
580,4,5,4,398.0,-17.689919,-63.161308,285000.0,Barrio Santa Isabel.,Distrito 5,310.0
581,6,5,4,318.0,-17.776371,-63.133148,190000.0,Barrio Guaracachi,Distrito 6,371.0
582,4,4,1,340.0,-17.824192,-63.216427,165000.0,Barrio California,Distrito 10,337.0
584,3,4,3,250.0,-17.768953,-63.111053,120000.0,Barrio las Pampita,Distrito 6,216.0
586,3,3,4,265.0,-17.660049,-63.172401,123500.0,Desconocido,Desconocido,265.0
587,3,3,2,255.0,-17.799177,-63.195206,254000.0,BARRIO URBARI,Distrito Municipal 4Â ,283.0
588,4,4,3,324.0,-17.752773,-63.173191,335000.0,Barrio Chino,Distrito 2,324.0
589,5,3,2,243.0,-17.792938,-63.197224,270000.0,BARRIO URBARI,Distrito Municipal 4Â ,385.0
593,3,4,2,205.0,-17.78871,-63.089626,98000.0,Barrio El Condado,Distrito 7,205.0
594,3,2,2,200.0,-17.791374,-63.269009,119000.0,Desconocido,Desconocido,334.0
601,5,4,2,280.0,-17.726986,-63.144379,125000.0,Barrio Santa Isabel.,Distrito 5,205.0
605,3,4,2,412.0,-17.736977,-63.238712,430000.0,Desconocido,Desconocido,412.0
606,4,5,2,305.0,-17.763054,-63.223694,319000.0,Desconocido,Desconocido,305.0
608,7,2,2,300.0,-17.752495,-63.125748,85000.0,Barrio las Pampita,Distrito 6,200.0
610,3,4,3,412.0,-17.730028,-63.228756,430000.0,Desconocido,Desconocido,412.0
613,4,4,2,232.0,-17.769184,-63.101944,112000.0,Barrio las Pampita,Distrito 6,232.0
616,1,1,3,200.0,-17.785696,-63.191013,340000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,200.0
618,5,4,3,380.0,-17.800671,-63.179977,255000.0,Barrio Aeronautico,Distrito Municipal 4Â ,380.0
620,4,4,3,415.0,-17.84557,-63.188717,320000.0,Barrio Guadalupe,Distrito 9Â ,625.0
621,4,6,4,390.0,-17.758703,-63.236038,390000.0,Desconocido,Desconocido,390.0
622,4,3,2,300.0,-17.682581,-63.154289,160000.0,Barrio Santa Isabel.,Distrito 5,300.0
624,3,4,3,250.0,-17.701298,-63.160313,280000.0,Barrio Santa Isabel.,Distrito 5,250.0
627,8,5,3,422.0,-17.793102,-63.210953,398000.0,Barrio Irma Suarez,Distrito Municipal 1,422.0
628,4,5,3,543.0,-17.748995,-63.215881,630000.0,Desconocido,Desconocido,543.0
631,3,3,2,303.0,-17.740707,-63.163128,390000.0,Barrio Santa Isabel.,Distrito 5,303.0
637,8,7,1,656.0,-17.776991,-63.149364,299700.0,Barrio Chino,Distrito 2,656.0
638,3,5,2,298.0,-17.82023,-63.222294,225000.0,Barrio el periodista,Distrito 10,298.0
641,4,4,2,350.0,-17.799564,-63.187763,285000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,360.0
643,3,6,6,430.0,-17.749607,-63.226395,595000.0,Desconocido,Desconocido,430.0
645,3,4,4,350.0,-17.758091,-63.236435,315000.0,Desconocido,Desconocido,455.0
646,3,3,2,242.0,-17.752144,-63.148121,195000.0,Desconocido,Desconocido,209.0
666,3,2,0,450.51,-17.781005,-63.092531,96000.0,Barrio El Condado,Distrito 7,450.51
670,3,2,0,220.0,-17.696578,-63.208783,105000.0,Desconocido,Desconocido,350.92
671,8,4,7,232.29,-17.813606,-63.143034,105000.0,Barrio San Francisco,Distrito 8,425.0
675,6,5,3,236.0,-17.844776,-63.184774,104597.7,Barrio Guadalupe,Distrito 9Â ,360.0
677,3,2,2,208.5,-17.73797769,-63.10190667,100574.71,Barrio La Purisima,Distrito 6,338.24
678,8,2,0,210.0,-17.805925,-63.134989,100143.68,Barrio 5 de Noviembre,Distrito 7,405.0
680,3,5,0,218.0,-17.8125638,-63.09838774,100000.0,Barrio 5 de Noviembre,Distrito 7,329.0
682,4,2,3,287.89,-17.83358972,-63.15339445,99142.24,Desconocido,Desconocido,250.99
694,5,4,0,246.0,-17.88694629,-63.24983604,95000.0,Desconocido,Desconocido,420.0
697,4,2,5,375.0,-17.8451,-63.118923,95000.0,Barrio LAB,Distrito 8,375.0
700,3,2,0,200.0,-17.858064,-63.149174,90517.24,Barrio 25 De Junio,Distrito 12,300.0
701,3,2,1,346.0,-17.847244,-63.160014,91594.83,Barrio Casa Nova II,Distrito 12,354.0
703,4,4,0,380.0,-17.7298265,-63.125162,94252.87,Desconocido,Desconocido,250.0
711,3,3,4,255.89,-17.654328,-63.179242,90000.0,Desconocido,Desconocido,432.63
731,4,2,1,220.0,-17.8455389,-63.10569336,85488.51,Barrio LAB,Distrito 8,417.0
737,3,2,0,200.0,-17.645906,-63.186158,85000.0,Desconocido,Desconocido,450.0
754,5,4,0,357.0,-17.731351,-63.081586,80000.0,Barrio San Jorge,Distrito 6,438.36
758,7,4,0,300.0,-17.86440062,-63.21550382,79000.0,Desconocido,Desconocido,331.48
776,5,2,0,214.46,-17.595594,-63.149414,73000.0,Desconocido,Desconocido,300.0
799,5,4,0,335.0,-17.699833,-63.128353,65373.56,Desconocido,Desconocido,371.0
800,3,3,0,300.0,-17.78756258,-63.20071375,67169.54,Barrio Santa Rosa,Distrito Municipal 1,426.37
803,5,2,3,360.0,-17.831721,-63.137009,65000.0,Barrio San Francisco,Distrito 8,540.0
806,5,6,0,620.0,-17.796052,-63.094847,64655.17,Barrio El Condado,Distrito 7,232.0
808,4,2,3,331.28,-17.861913,-63.144163,64367.82,Barrio Ã‘uflo de Chavez,Distrito 12,383.89
810,4,2,3,255.38,-17.75999688,-63.09793346,64655.17,Barrio La Purisima,Distrito 6,360.85
811,5,2,1,241.72,-17.717662,-63.092464,61000.0,Barrio La Purisima,Distrito 6,250.15
815,4,2,0,250.0,-17.749397,-63.113617,59339.08,Barrio La Purisima,Distrito 6,360.0
826,7,3,0,210.0,-17.840381,-63.102757,55000.0,Barrio LAB,Distrito 8,355.98
831,4,1,2,547.0,-17.747163,-63.099717,53304.6,Barrio La Purisima,Distrito 6,364.0
835,8,4,0,300.0,-17.725569,-63.085506,50000.0,Barrio San Jorge,Distrito 6,517.24
870,5,3,0,200.0,-17.765147,-63.10556,113000.0,Barrio las Pampita,Distrito 6,351.0
874,3,4,3,208.0,-17.701163,-63.178192,140000.0,Barrio Santa Isabel.,Distrito 5,275.0
877,3,3,2,255.3,-17.847347,-63.260867,110000.0,Desconocido,Desconocido,315.0
878,7,3,0,254.0,-17.82600106,-63.20932368,110000.0,Barrio Flamingo,Distrito 10,300.0
881,4,3,2,299.53,-17.825223,-63.169754,196000.0,BARRIO PRIMAVERA,Distrito 9Â ,433.2
882,4,3,3,373.0,-17.650484,-63.170357,225000.0,Desconocido,Desconocido,732.0
883,5,2,0,343.0,-17.806468,-63.1266,221264.37,Barrio 5 de Noviembre,Distrito 7,360.0
884,3,3,0,208.0,-17.741879,-63.186458,218534.48,Barrio Santa Isabel.,Distrito 5,249.0
887,3,4,0,298.0,-17.81975,-63.222027,225000.0,Barrio el periodista,Distrito 10,298.0
888,6,4,5,500.0,-17.833523,-63.184412,220000.0,Barrio Saguapac sur,Distrito 9Â ,720.0
889,4,2,2,200.0,-17.811528,-63.205697,215000.0,BARRIO URBARI,Distrito Municipal 4Â ,453.75
890,6,3,0,270.0,-17.8177179,-63.1407754,210775.86,Barrio San Francisco,Distrito 8,360.0
892,3,3,2,240.0,-17.73293,-63.145573,210000.0,Barrio Santa Isabel.,Distrito 5,240.0
893,4,2,4,263.02,-17.75347,-63.171459,210000.0,Barrio Chino,Distrito 2,364.4
894,3,3,0,300.0,-17.7876443,-63.20063356,207614.94,Barrio Santa Rosa,Distrito Municipal 1,426.0
900,7,3,3,300.0,-17.78089144,-63.12104702,200287.36,Barrio El Condado,Distrito 7,400.0
902,6,5,0,300.0,-17.7359,-63.18083,199000.0,Barrio Santa Isabel.,Distrito 5,345.48
906,5,4,7,420.0,-17.840647,-63.190141,195000.0,Barrio Saguapac sur,Distrito 9Â ,846.33
908,8,4,3,284.47,-17.809569,-63.213296,190000.0,Barrio Flamingo,Distrito 10,323.75
912,6,4,0,413.0,-17.75434334,-63.18784689,186968.39,Barrio el Manchon,Distrito Municipal 1,264.0
913,3,3,0,204.81,-17.789831,-63.184197,186781.61,Barrio FÃ© y AlegrÃ­a,Distrito 11,235.29
916,3,2,0,223.0,-17.812653,-63.167936,185000.0,Barrio SoberanÃ­a Nacional,Distrito Municipal 3,420.0
917,5,4,2,200.0,-17.74791,-63.154819,184000.0,Barrio Santa Isabel.,Distrito 5,360.0
919,4,4,0,280.0,-17.837113,-63.184776,180000.0,Barrio Saguapac sur,Distrito 9Â ,582.0
921,5,2,3,202.0,-17.79642,-63.148813,180000.0,Barrio Los Penocos,Distrito Municipal 3,261.0
923,6,3,4,313.0,-17.86922552,-63.181632,179900.0,Barrio Florida,Distrito 12,480.0
924,5,4,0,319.46,-17.80299821,-63.16456351,178620.69,Barrio Polanco,Distrito Municipal 3,358.0
925,3,2,4,439.0,-17.778216,-63.205689,178160.92,Barrio Santa Rosa,Distrito Municipal 1,286.0
929,4,5,2,321.71,-17.831308,-63.251395,176000.0,Desconocido,Desconocido,453.39
930,3,3,0,296.0,-17.854708,-63.167919,175000.0,Barrio Palma Real,Distrito 12,419.13
932,8,4,0,303.2,-17.813336,-63.22385,175000.0,Barrio el periodista,Distrito 10,355.5
935,3,3,0,240.0,-17.713824,-63.169107,175000.0,Barrio Santa Isabel.,Distrito 5,301.0
937,4,4,0,322.0,-17.777142,-63.150026,173000.0,Barrio Chino,Distrito 2,300.0
938,7,3,0,313.0,-17.799149,-63.167542,172413.79,Barrio Polanco,Distrito Municipal 3,301.0
939,4,4,5,319.0,-17.8449772,-63.12196941,171982.76,Barrio LAB,Distrito 8,455.0
940,5,2,0,328.15,-17.780278,-63.152204,170977.01,Barrio Chino,Distrito 2,331.8
943,3,2,0,230.0,-17.737201,-63.19381,170000.0,Barrio el Manchon,Distrito Municipal 1,360.0
944,6,3,2,205.74,-17.82191,-63.180563,169540.23,BARRIO VICTORIA,Distrito Municipal 4Â ,387.5
945,5,4,3,251.78,-17.838768,-63.192804,169000.0,Barrio Saguapac sur,Distrito 9Â ,405.0
948,3,5,0,200.0,-17.80720677,-63.16692349,166666.67,Barrio Polanco,Distrito Municipal 3,229.6
951,4,4,0,220.0,-17.73926525,-63.17724466,165948.28,Barrio Santa Isabel.,Distrito 5,203.0
955,4,5,0,243.0,-17.730743,-63.153708,165000.0,Barrio Santa Isabel.,Distrito 5,206.0
957,2,1,0,360.3,-17.72961342,-63.14759005,162000.0,Barrio Santa Isabel.,Distrito 5,360.3
958,7,5,0,310.0,-17.831506,-63.211534,160344.83,Barrio 27 de mayo,Distrito 10,300.0
959,6,4,2,330.0,-17.806803,-63.221625,160000.0,Desconocido,Desconocido,286.2
960,7,5,1,293.0,-17.767792,-63.159741,160000.0,Barrio Chino,Distrito 2,270.0
962,8,2,0,286.0,-17.784855,-63.161601,160000.0,Barrio Chino,Distrito 2,222.61
964,3,2,0,220.0,-17.80591458,-63.1356275,159482.76,Barrio 5 de Noviembre,Distrito 7,360.0
965,3,4,0,250.0,-17.808943,-63.155435,159770.11,Barrio Polanco,Distrito Municipal 3,200.0
971,4,3,2,215.0,-17.702454,-63.166752,155000.0,Barrio Santa Isabel.,Distrito 5,238.0
972,2,2,0,200.0,-17.690479,-63.170183,155000.0,Barrio Santa Isabel.,Distrito 5,400.0
973,7,5,0,329.0,-17.805164,-63.134179,155000.0,Barrio 5 de Noviembre,Distrito 7,330.0
974,8,5,0,363.0,-17.728576,-63.13125,155000.0,Desconocido,Desconocido,360.0
979,3,2,6,285.0,-17.629978,-63.160908,150862.07,Desconocido,Desconocido,598.0
982,5,3,0,306.0,-17.761892,-63.114248,150000.0,Barrio las Pampita,Distrito 6,356.0
983,5,3,0,260.0,-17.854842,-63.173318,150000.0,Barrio Palma Real,Distrito 12,278.52
985,1,1,2,240.0,-17.734062,-63.175001,148000.0,Barrio Santa Isabel.,Distrito 5,298.0
989,3,2,4,265.0,-17.79212,-63.209962,145000.0,Barrio Irma Suarez,Distrito Municipal 1,329.0
990,3,2,0,245.1,-17.791128,-63.089611,145000.0,Barrio El Condado,Distrito 7,450.0
991,4,5,0,480.0,-17.715086,-63.169327,145000.0,Barrio Santa Isabel.,Distrito 5,249.0
992,6,2,0,200.0,-17.792313,-63.110511,145000.0,Barrio El Condado,Distrito 7,468.0
993,4,3,0,262.0,-17.75475,-63.092833,145000.0,Barrio La Purisima,Distrito 6,300.0
996,4,4,0,279.69,-17.802776,-63.153609,140804.6,Barrio Polanco,Distrito Municipal 3,239.72
997,3,3,1,200.0,-17.777373,-63.166485,143000.0,Barrio Lindo,Distrito 11,216.0
998,5,4,0,250.0,-17.736603,-63.151996,140000.0,Barrio Santa Isabel.,Distrito 5,350.0
999,8,3,0,319.0,-17.8224881,-63.2204176,140804.6,Barrio el periodista,Distrito 10,600.0
1001,5,4,0,241.0,-17.727795,-63.172434,139000.0,Barrio Santa Isabel.,Distrito 5,372.0
1006,4,5,0,259.0,-17.776793,-63.121918,138000.0,Barrio las Pampita,Distrito 6,251.0
1011,7,4,0,332.0,-17.787869054632,-63.114641904831,130747.13,Barrio El Condado,Distrito 7,416.97
1012,5,2,0,288.45,-17.730068,-63.133149,130747.13,Desconocido,Desconocido,350.2
1013,3,3,0,382.18,-17.84853526,-63.25944436,130747.13,Desconocido,Desconocido,382.18
1014,5,5,2,218.91,-17.7945706,-63.0870688,130747.13,Barrio El Condado,Distrito 7,280.0
1018,7,3,0,250.0,-17.84757,-63.170124,129000.0,Barrio Militar Nuevo Amanecer,Distrito 12,600.0
1021,8,3,2,394.5,-17.7983222,-63.14589393,130000.0,Barrio Los Penocos,Distrito Municipal 3,255.0
1027,3,2,0,236.0,-17.817452,-63.224795,128000.0,Barrio el periodista,Distrito 10,360.0
1028,4,2,0,210.0,-17.86942,-63.192643,128000.0,Barrio las americas,Distrito 9Â ,254.0
1034,3,3,0,210.0,-17.838167,-63.189063,125718.39,Barrio Saguapac sur,Distrito 9Â ,240.0
1054,5,2,0,281.2,-17.850329,-63.191986,120000.0,Barrio Guadalupe,Distrito 9Â ,360.0
1063,4,3,0,200.0,-17.843411,-63.183083,115660.92,Barrio Guadalupe,Distrito 9Â ,245.0
1067,3,3,0,348.0,-17.764872,-63.10401,115000.0,Barrio La Purisima,Distrito 6,360.0
1070,3,2,3,253.0,-17.8392671,-63.19336912,113000.0,Barrio Saguapac sur,Distrito 9Â ,268.04
1071,4,4,2,244.0,-17.756865,-63.089881,108620.69,Barrio San Jorge,Distrito 6,310.0
1072,3,2,0,253.43,-17.767957,-63.109975,108500.0,Barrio las Pampita,Distrito 6,375.56
1077,4,4,0,220.0,-17.785753,-63.109463,107758.62,Barrio El Condado,Distrito 7,300.0
1080,5,2,0,368.0,-17.82043,-63.18984,229000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,368.0
1081,6,3,0,299.0,-17.800782,-63.142676,250000.0,Barrio Los Penocos,Distrito Municipal 3,360.0
1085,4,3,0,243.0,-17.776866,-63.158233,241379.31,Barrio Chino,Distrito 2,241.47
1086,6,4,0,300.0,-17.78559089,-63.16544756,245000.0,Barrio Lindo,Distrito 11,410.0
1087,6,2,0,284.97,-17.767882,-17.767882,240000.0,Desconocido,Desconocido,326.4
1092,4,4,0,381.0,-17.78097725,-63.146442,245000.0,Barrio Guaracachi,Distrito 6,381.54
1094,3,4,2,390.0,-17.689851,-63.161322,249000.0,Barrio Santa Isabel.,Distrito 5,475.0
1095,4,4,0,450.0,-17.784792,-63.219109,380000.0,Barrio Irma Suarez,Distrito Municipal 1,362.81
1120,4,6,2,562.0,-17.765164,-63.144213,644000.0,Desconocido,Desconocido,320.0
1121,4,3,2,471.0,-17.771949,-63.177598,560000.0,Barrio Panamericano,Distrito 11,798.0
1122,4,6,4,518.0,-17.7226434,-63.1676779,640000.0,Barrio Santa Isabel.,Distrito 5,612.0
1123,4,4,2,470.63,-17.771605,-63.17762,560000.0,Barrio Panamericano,Distrito 11,797.7
1124,4,4,0,350.0,-17.797416,-63.214999,490000.0,BARRIO URBARI,Distrito Municipal 4Â ,578.56
1126,5,5,0,463.0,-17.732899,-63.194046,603448.28,Desconocido,Desconocido,383.0
1127,5,5,0,480.0,-17.746925,-63.175687,590000.0,Barrio el Manchon,Distrito Municipal 1,453.53
1128,5,3,2,300.0,-17.765766,-63.204941,450000.0,Barrio el Manchon,Distrito Municipal 1,400.0
1129,3,4,0,290.0,-17.73094,-63.171896,416666.67,Barrio Santa Isabel.,Distrito 5,436.45
1130,2,1,0,299.53,-17.757253,-63.192691,408000.0,Barrio el Manchon,Distrito Municipal 1,500.0
1132,4,7,6,543.0,-17.802483,-63.168846,450000.0,Barrio Polanco,Distrito Municipal 3,507.0
1134,3,5,0,400.0,-17.74468108,-63.16127114,431034.48,Barrio Santa Isabel.,Distrito 5,480.0
1135,5,4,3,200.0,-17.782158,-63.195076,420000.0,Barrio Santa Rosa,Distrito Municipal 1,406.0
1137,6,2,0,200.0,-17.73670033,-63.1716551,402298.85,Barrio Santa Isabel.,Distrito 5,708.0
1138,5,5,0,313.0,-17.77296,-63.16355,400862.07,Barrio Chino,Distrito 2,489.0
1140,4,2,0,451.0,-17.77978296,-63.17378461,399281.61,Barrio Lindo,Distrito 11,504.0
1141,6,3,2,493.0,-17.77069524,-63.19087132,397270.11,BARRIO EQUIPETROL,Distrito Municipal 1,414.2
1142,4,3,4,406.0,-17.733875,-63.161976,390000.0,Barrio Santa Isabel.,Distrito 5,480.0
1144,4,5,0,441.0,-17.774235,-63.190825,375000.0,Barrio Panamericano,Distrito 11,364.0
1145,5,5,0,540.0,-17.80066916,-63.17209596,371264.37,Barrio Polanco,Distrito Municipal 3,601.0
1146,4,3,0,299.25,-17.745653,-63.164005,370000.0,Barrio Santa Isabel.,Distrito 5,360.0
1147,4,4,0,304.9,-17.788724,-63.215103,366379.31,Barrio Irma Suarez,Distrito Municipal 1,557.16
1148,4,3,0,386.09,-17.792352,-63.195173,365524.43,BARRIO URBARI,Distrito Municipal 4Â ,586.95
1149,6,6,0,467.0,-17.77721191,-63.16701069,362068.97,Barrio Lindo,Distrito 11,838.86
1151,4,4,2,399.0,-17.784692,-63.166902,344827.59,Barrio Lindo,Distrito 11,222.0
1152,3,2,0,245.0,-17.774884,-63.187094,333333.33,Barrio Panamericano,Distrito 11,319.0
1153,3,3,0,200.0,-17.788799,-63.176644,330000.0,Barrio Lindo,Distrito 11,668.0
1154,4,6,0,524.84,-17.791996,-63.168705,327075.0,Barrio Lindo,Distrito 11,384.0
1155,3,6,0,327.0,-17.82072048,-63.17394912,326580.46,Barrio Guaracal,Distrito Municipal 4Â ,594.75
1156,5,5,0,376.0,-17.797405,-63.205222,323275.86,BARRIO URBARI,Distrito Municipal 4Â ,366.8
1159,3,4,0,320.0,-17.743455,-63.14507,320000.0,Desconocido,Desconocido,378.0
1160,3,4,0,200.0,-17.816606,-63.181219,316810.34,BARRIO VICTORIA,Distrito Municipal 4Â ,478.71
1162,2,4,3,306.0,-17.76043969,-63.15187234,316091.95,Barrio Chino,Distrito 2,306.0
1165,6,6,0,210.0,-17.76409,-63.167492,309000.0,Barrio Chino,Distrito 2,229.33
1166,8,5,0,498.0,-17.74755,-63.146025,307112.07,Desconocido,Desconocido,359.0
1167,6,6,0,405.0,-17.724151,-63.166446,306752.87,Barrio Santa Isabel.,Distrito 5,390.0
1168,4,3,0,392.0,-17.731004,-63.172586,305000.0,Barrio Santa Isabel.,Distrito 5,311.0
1169,3,4,0,312.08,-17.742086,-63.160915,303448.28,Barrio Santa Isabel.,Distrito 5,336.38
1171,3,4,2,280.0,-17.81975,-63.188038,300287.36,BARRIO VICTORIA,Distrito Municipal 4Â ,240.0
1172,7,2,0,240.0,-17.732347,-63.142076,300000.0,Barrio Santa Isabel.,Distrito 5,495.0
1175,6,6,3,578.0,-17.814579,-63.15317,295000.0,Barrio SoberanÃ­a Nacional,Distrito Municipal 3,418.0
1176,6,5,0,300.0,-17.730149,-63.169127,280000.0,Barrio Santa Isabel.,Distrito 5,264.0
1179,8,6,0,454.75,-17.786939,-63.179131,290000.0,Barrio Lindo,Distrito 11,411.06
1180,4,4,0,266.0,-17.797384,-63.20567,290000.0,BARRIO URBARI,Distrito Municipal 4Â ,360.0
1181,5,6,0,397.0,-17.76825,-63.155232,295000.0,Barrio Chino,Distrito 2,330.0
1182,4,3,0,218.0,-17.822168,-63.182013,280000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,445.0
1183,6,4,0,337.0,-17.772847168595,-63.157569277094,281609.2,Barrio Chino,Distrito 2,346.0
1184,5,4,0,200.0,-17.7794756,-63.1673298,280000.0,Barrio Lindo,Distrito 11,394.54
1185,5,4,0,477.66,-17.731685,-63.17191,280000.0,Barrio Santa Isabel.,Distrito 5,465.96
1189,5,3,2,471.34,-17.776775,-63.176151,266522.99,Barrio Lindo,Distrito 11,286.0
1190,7,5,0,346.0,-17.83512,-63.189053,265000.0,Barrio Saguapac sur,Distrito 9Â ,543.97
1191,4,4,0,323.0,-17.713042,-63.164971,265000.0,Barrio Santa Isabel.,Distrito 5,456.0
1194,3,3,2,290.0,-17.771974,-63.151902,260000.0,Barrio Chino,Distrito 2,366.75
1195,5,3,0,437.0,-17.733925,-63.147089,260000.0,Barrio Santa Isabel.,Distrito 5,840.0
1196,6,4,2,404.15,-17.746929,-63.155916,239000.0,Barrio Santa Isabel.,Distrito 5,432.0
1197,4,6,0,272.0,-17.754082,-63.183757,230000.0,Barrio el Manchon,Distrito Municipal 1,228.81
1198,4,4,2,300.0,-17.730853,-63.154682,258620.69,Barrio Santa Isabel.,Distrito 5,475.0
1199,6,5,4,324.53,-17.813435,-63.207558,230000.0,Barrio Flamingo,Distrito 10,541.14
1200,3,2,0,230.0,-17.888198,-63.20103,230000.0,Desconocido,Desconocido,438.0
1201,4,4,5,300.0,-17.79880999,-63.18481926,235000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,308.7
1202,3,4,3,245.0,-17.82652,-63.17934,230000.0,Barrio Transportista,Distrito 9Â ,531.0
1203,6,5,0,249.0,-17.729322,-63.157434,230000.0,Barrio Santa Isabel.,Distrito 5,420.0
1204,8,4,2,290.0,-17.750322,-63.193792,230000.0,Barrio el Manchon,Distrito Municipal 1,295.98
1205,3,3,0,430.0,-17.753903,-63.188662,230000.0,Barrio el Manchon,Distrito Municipal 1,427.75
1206,8,4,0,360.0,-17.750526,-63.194131,255000.0,Barrio el Manchon,Distrito Municipal 1,295.98
1208,8,4,2,437.08,-17.83982994,-63.23647865,251436.78,Desconocido,Desconocido,680.0
1209,3,3,0,430.0,-17.79691,-63.175528,251436.78,Barrio Lindo,Distrito 11,577.86
1210,5,5,0,280.0,-17.738747,-63.182545,253232.76,Barrio Santa Isabel.,Distrito 5,312.0
1211,3,3,2,220.0,-17.739122,-63.17894,255000.0,Barrio Santa Isabel.,Distrito 5,240.0
1212,6,3,0,258.0,-17.729608,-63.130971,250000.0,Desconocido,Desconocido,361.38
