,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno
138,3,3,3,250.0,-17.743599,-63.222878,265000.0,Desconocido,Desconocido,471.0
140,3,4,2,367.0,-17.721985,-63.16143,239000.0,Barrio Santa Isabel.,Distrito 5,289.0
141,4,5,4,475.0,-17.758789,-63.235893,435000.0,Desconocido,Desconocido,450.0
142,4,6,3,497.0,-17.7624,-63.236652,430000.0,Desconocido,Desconocido,602.0
144,4,5,4,475.0,-17.758619,-63.236122,465000.0,Desconocido,Desconocido,450.0
145,3,5,1,372.0,-17.715965,-63.167782,290000.0,Barrio Santa Isabel.,Distrito 5,369.0
147,3,4,3,457.0,-17.844065,-63.191402,278000.0,Barrio Saguapac sur,Distrito 9Â ,205.0
149,6,5,2,464.0,-17.796209,-63.206238,271120.0,BARRIO URBARI,Distrito Municipal 4Â ,599.0
150,3,4,2,383.0,-17.792549,-63.195148,365000.0,BARRIO URBARI,Distrito Municipal 4Â ,586.0
152,5,2,4,320.0,-17.75819,-63.235924,295000.0,Desconocido,Desconocido,450.0
153,5,3,4,225.0,-17.71949,-63.159973,165000.0,Barrio Santa Isabel.,Distrito 5,548.0
156,3,4,2,314.0,-17.755146,-63.237984,265000.0,Desconocido,Desconocido,471.0
157,3,4,2,207.0,-17.740124,-63.188122,160000.0,Barrio Santa Isabel.,Distrito 5,232.0
159,3,5,2,250.0,-17.755125,-63.223263,215000.0,Desconocido,Desconocido,280.0
162,3,4,2,210.0,-17.709669,-63.167912,135000.0,Barrio Santa Isabel.,Distrito 5,233.0
163,6,7,1,410.0,-17.764162,-63.167488,309000.0,Barrio Chino,Distrito 2,229.0
164,4,3,2,250.0,-17.703093,-63.180805,164998.0,Barrio Santa Isabel.,Distrito 5,270.0
165,3,3,2,288.0,-17.735008,-63.165146,280000.0,Barrio Santa Isabel.,Distrito 5,377.0
166,5,5,4,571.0,-17.731726,-63.173225,430000.0,Barrio Santa Isabel.,Distrito 5,525.0
168,4,4,2,363.0,-17.766531,-63.201412,495000.0,BARRIO EQUIPETROL,Distrito Municipal 1,294.0
170,4,7,3,450.0,-17.759956,-63.23407,399000.0,Desconocido,Desconocido,450.0
171,5,4,4,298.0,-17.75355,-63.187775,200000.0,Barrio el Manchon,Distrito Municipal 1,413.0
172,5,4,2,245.0,-17.714069,-63.186535,185000.0,Barrio Santa Isabel.,Distrito 5,360.0
173,4,3,1,280.0,-17.772804,-63.187225,249000.0,Barrio Panamericano,Distrito 11,222.0
175,5,5,2,400.0,-17.712418,-63.167007,170000.0,Barrio Santa Isabel.,Distrito 5,315.0
177,4,5,4,466.0,-17.769878,-63.225624,399000.0,Desconocido,Desconocido,658.0
180,3,3,2,238.0,-17.749039,-63.234413,165000.0,Desconocido,Desconocido,240.0
181,4,4,2,242.0,-17.761337,-63.229313,229000.0,Desconocido,Desconocido,412.0
182,5,6,2,633.0,-17.742903,-63.166191,460000.0,Barrio Santa Isabel.,Distrito 5,300.0
184,3,4,4,303.0,-17.757748,-63.242821,250000.0,Desconocido,Desconocido,627.0
185,5,4,2,420.0,-17.778105,-63.209949,345300.0,Barrio Santa Rosa,Distrito Municipal 1,360.0
186,3,4,3,223.0,-17.762318,-63.236652,230000.0,Desconocido,Desconocido,400.0
188,3,3,2,285.0,-17.72086,-63.157726,305000.0,Barrio Santa Isabel.,Distrito 5,230.0
190,4,2,2,217.0,-17.846247,-63.159775,100000.0,Barrio Casa Nova II,Distrito 12,360.0
192,4,2,4,285.0,-17.727278,-63.175476,150000.0,Barrio Santa Isabel.,Distrito 5,400.0
194,4,3,4,200.0,-17.881882,-63.271847,125000.0,Desconocido,Desconocido,650.0
195,4,6,4,435.0,-17.726839,-63.231758,460000.0,Desconocido,Desconocido,787.0
203,4,4,2,340.0,-17.743801,-63.169903,165000.0,Barrio Santa Isabel.,Distrito 5,245.0
204,5,5,5,353.0,-17.763292,-63.20298,350000.0,Barrio el Manchon,Distrito Municipal 1,350.0
206,4,7,4,470.0,-17.731152,-63.171944,380000.0,Barrio Santa Isabel.,Distrito 5,380.0
