,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2
546,3,4,3,295.0,-17.734774,-63.165241,285000.0,Barrio Santa Isabel.,Distrito 5,295.0,966.1016949152543
550,7,6,0,360.0,-17.777576,-63.188751,220000.0,Barrio Panamericano,Distrito 11,272.0,611.1111111111111
552,5,3,2,245.0,-17.792418,-63.151604,168000.0,Barrio Los Penocos,Distrito Municipal 3,432.0,685.7142857142857
553,4,3,3,274.0,-17.783236,-63.169205,144500.0,Barrio Lindo,Distrito 11,274.0,527.3722627737226
555,4,4,4,220.0,-17.831495,-63.230705,128000.0,Barrio los Olivos,Distrito 10,420.0,581.8181818181819
558,4,3,4,185.0,-17.699265,-63.18111,138000.0,Barrio Santa Isabel.,Distrito 5,185.0,745.9459459459459
560,4,4,3,276.0,-17.739143,-63.182106,245000.0,Barrio Santa Isabel.,Distrito 5,276.0,887.6811594202899
562,3,3,2,156.0,-17.68294,-63.153748,108000.0,Barrio Santa Isabel.,Distrito 5,156.0,692.3076923076923
563,4,5,3,276.0,-17.746174,-63.164478,275000.0,Barrio Santa Isabel.,Distrito 5,276.0,996.3768115942029
565,3,3,2,160.0,-17.720989,-63.152714,130000.0,Barrio Santa Isabel.,Distrito 5,160.0,812.5
568,2,3,3,120.0,-17.80835,-63.160355,135000.0,Barrio Polanco,Distrito Municipal 3,120.0,1125.0
569,4,2,2,237.0,-17.792973,-63.195515,217500.0,BARRIO URBARI,Distrito Municipal 4Â ,237.0,917.7215189873418
570,3,4,2,190.0,-17.697136,-63.181114,124800.0,Barrio Santa Isabel.,Distrito 5,190.0,656.8421052631579
571,3,3,2,120.0,-17.846785,-63.098679,55000.0,Barrio LAB,Distrito 8,170.0,458.3333333333333
573,3,3,2,125.0,-17.701101,-63.167423,110000.0,Barrio Santa Isabel.,Distrito 5,125.0,880.0
574,5,3,1,308.0,-17.735741,-63.174004,140000.0,Barrio Santa Isabel.,Distrito 5,300.0,454.54545454545456
575,5,5,2,265.0,-17.758455,-63.0966,185000.0,Barrio La Purisima,Distrito 6,450.0,698.1132075471698
