,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2,rooms_per_area
1072,3,2,0,253.43,-17.767957,-63.109975,108500.0,Barrio las Pampita,Distrito 6,375.56,428.12610977390204,95178.1708
1073,3,3,2,110.0,-17.701448116242,-63.167272629216,107758.62,Barrio Santa Isabel.,Distrito 5,150.0,979.6238181818181,16500.0
1074,4,3,2,165.0,-17.815918,-63.233847,108000.0,Desconocido,Desconocido,180.0,654.5454545454545,29700.0
1076,3,3,2,170.0,-17.723049,-63.183784,107000.0,Barrio Santa Isabel.,Distrito 5,150.0,629.4117647058823,25500.0
1077,4,4,0,220.0,-17.785753,-63.109463,107758.62,Barrio El Condado,Distrito 7,300.0,489.81190909090907,66000.0
1079,4,3,0,236.0,-17.75326467,-63.12813344,105603.45,Barrio las Pampita,Distrito 6,150.0,447.47224576271185,35400.0
1080,5,2,0,368.0,-17.82043,-63.18984,229000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,368.0,622.2826086956521,135424.0
1081,6,3,0,299.0,-17.800782,-63.142676,250000.0,Barrio Los Penocos,Distrito Municipal 3,360.0,836.1204013377926,107640.0
1082,3,2,2,150.0,-17.722706,-63.183816,95000.0,Barrio Santa Isabel.,Distrito 5,150.0,633.3333333333334,22500.0
1084,4,5,0,583.0,-17.7506613,-63.1760149,1005747.13,Barrio el Manchon,Distrito Municipal 1,500.0,1725.1237221269296,291500.0
1085,4,3,0,243.0,-17.776866,-63.158233,241379.31,Barrio Chino,Distrito 2,241.47,993.3304938271605,58677.21
1086,6,4,0,300.0,-17.78559089,-63.16544756,245000.0,Barrio Lindo,Distrito 11,410.0,816.6666666666666,123000.0
1088,7,4,0,147.0,-17.723124,-63.154171,240000.0,Barrio Santa Isabel.,Distrito 5,302.62,1632.6530612244899,44485.14
1089,4,4,3,160.0,-17.752554,-63.166794,240000.0,Barrio Chino,Distrito 2,311.0,1500.0,49760.0
1092,4,4,0,381.0,-17.78097725,-63.146442,245000.0,Barrio Guaracachi,Distrito 6,381.54,643.0446194225722,145366.74000000002
1093,4,5,2,217.0,-17.710088,-63.169659,163000.0,Barrio Santa Isabel.,Distrito 5,158.0,751.1520737327189,34286.0
1094,3,4,2,390.0,-17.689851,-63.161322,249000.0,Barrio Santa Isabel.,Distrito 5,475.0,638.4615384615385,185250.0
1095,4,4,0,450.0,-17.784792,-63.219109,380000.0,Barrio Irma Suarez,Distrito Municipal 1,362.81,844.4444444444445,163264.5
1096,3,2,2,100.0,-17.72771773,-63.17411954,140000.0,Barrio Santa Isabel.,Distrito 5,310.0,1400.0,31000.0
1097,3,2,0,170.0,-17.798072,-63.1925079,125000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,316.0,735.2941176470588,53720.0
1098,3,3,0,176.0,-17.72117722,-63.15631624,98000.0,Barrio Santa Isabel.,Distrito 5,225.0,556.8181818181819,39600.0
1099,3,2,0,135.0,-17.692325,-63.169595,90517.24,Barrio Santa Isabel.,Distrito 5,178.0,670.4980740740741,24030.0
1101,4,3,3,220.0,-17.719697,-63.183009,115000.0,Barrio Santa Isabel.,Distrito 5,186.0,522.7272727272727,40920.0
1102,4,2,2,205.0,-17.725519,-63.182515,135000.0,Barrio Santa Isabel.,Distrito 5,198.65,658.5365853658536,40723.25
1103,3,2,0,120.0,-17.679558,-63.145101,119000.0,Desconocido,Desconocido,225.0,991.6666666666666,27000.0
1104,4,3,0,150.0,-17.661909,-63.164025,110000.0,Desconocido,Desconocido,330.0,733.3333333333334,49500.0
1105,3,3,2,165.0,-17.71921502,-63.14735466,87000.0,Barrio Santa Isabel.,Distrito 5,150.16,527.2727272727273,24776.399999999998
1106,3,2,2,139.15,-17.6752879,-63.1947605,84051.72,Desconocido,Desconocido,210.0,604.0367948257276,29221.5
1108,3,3,0,108.0,-17.702086,-63.145938,75107.76,Barrio Santa Isabel.,Distrito 5,253.0,695.4422222222222,27324.0
1113,6,7,0,925.0,-17.747777,-63.177361,1290000.0,Barrio el Manchon,Distrito Municipal 1,700.0,1394.5945945945946,647500.0
1116,3,2,0,550.0,-17.800075,-63.194506,890000.0,BARRIO URBARI,Distrito Municipal 4Â ,572.0,1618.1818181818182,314600.0
1118,5,4,0,120.0,-17.775538,-63.190098,750000.0,Barrio Panamericano,Distrito 11,951.0,6250.0,114120.0
1119,5,8,0,632.83,-17.722797,-63.168717,775862.07,Barrio Santa Isabel.,Distrito 5,410.74,1226.0197367381443,259928.59420000002
1120,4,6,2,562.0,-17.765164,-63.144213,644000.0,Desconocido,Desconocido,320.0,1145.9074733096086,179840.0
1121,4,3,2,471.0,-17.771949,-63.177598,560000.0,Barrio Panamericano,Distrito 11,798.0,1188.95966029724,375858.0
1122,4,6,4,518.0,-17.7226434,-63.1676779,640000.0,Barrio Santa Isabel.,Distrito 5,612.0,1235.5212355212354,317016.0
1123,4,4,2,470.63,-17.771605,-63.17762,560000.0,Barrio Panamericano,Distrito 11,797.7,1189.8943968722776,375421.55100000004
1124,4,4,0,350.0,-17.797416,-63.214999,490000.0,BARRIO URBARI,Distrito Municipal 4Â ,578.56,1400.0,202495.99999999997
1126,5,5,0,463.0,-17.732899,-63.194046,603448.28,Desconocido,Desconocido,383.0,1303.3440172786177,177329.0
1127,5,5,0,480.0,-17.746925,-63.175687,590000.0,Barrio el Manchon,Distrito Municipal 1,453.53,1229.1666666666667,217694.4
1128,5,3,2,300.0,-17.765766,-63.204941,450000.0,Barrio el Manchon,Distrito Municipal 1,400.0,1500.0,120000.0
1129,3,4,0,290.0,-17.73094,-63.171896,416666.67,Barrio Santa Isabel.,Distrito 5,436.45,1436.781620689655,126570.5
