,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2,rooms_per_area
22,7,5,3,710.0,-17.769133,-63.17086,490000.0,Barrio Chino,Distrito 2,594.0,690.1408450704225,421740.0
23,4,3,2,184.0,-17.703732,-63.168705,213600.0,Barrio Santa Isabel.,Distrito 5,238.0,1160.8695652173913,43792.0
24,4,4,4,415.0,-17.755156,-63.245052,259000.0,Desconocido,Desconocido,436.0,624.0963855421687,180940.0
27,4,3,2,220.0,-17.648388,-63.181431,79500.0,Desconocido,Desconocido,255.0,361.3636363636364,56100.0
28,3,4,2,190.0,-17.805178,-63.214722,150000.0,Desconocido,Desconocido,204.0,789.4736842105264,38760.0
29,4,4,2,197.0,-17.762993,-63.223434,220000.0,Desconocido,Desconocido,214.0,1116.751269035533,42158.0
30,5,4,2,196.0,-17.699272,-63.180733,128000.0,Barrio Santa Isabel.,Distrito 5,160.0,653.0612244897959,31360.0
31,4,4,2,385.0,-17.769739,-63.158424,275000.0,Barrio Chino,Distrito 2,320.0,714.2857142857143,123200.0
32,3,2,2,110.0,-17.631008,-63.164837,65000.0,Desconocido,Desconocido,204.0,590.9090909090909,22440.0
33,4,4,2,151.0,-17.684004,-63.160076,125000.0,Barrio Santa Isabel.,Distrito 5,234.0,827.8145695364238,35334.0
34,3,5,4,450.0,-17.712879,-63.16214,450000.0,Barrio Santa Isabel.,Distrito 5,427.0,1000.0,192150.0
35,4,3,2,157.0,-17.743681,-63.234161,170000.0,Desconocido,Desconocido,210.0,1082.8025477707006,32970.0
37,3,3,2,127.0,-17.710232,-63.172997,118000.0,Barrio Santa Isabel.,Distrito 5,254.0,929.1338582677165,32258.0
38,4,4,4,325.0,-17.763666,-63.238861,239000.0,Desconocido,Desconocido,364.0,735.3846153846154,118300.0
39,3,4,2,314.0,-17.76338,-63.236912,268000.0,Desconocido,Desconocido,450.0,853.5031847133758,141300.0
40,3,2,2,157.0,-17.700397,-63.142525,105000.0,Barrio Santa Isabel.,Distrito 5,180.0,668.7898089171974,28260.0
41,4,5,2,334.0,-17.755268,-63.236717,274000.0,Desconocido,Desconocido,595.0,820.3592814371258,198730.0
42,4,5,4,384.0,-17.740711,-63.163136,500000.0,Barrio Santa Isabel.,Distrito 5,480.0,1302.0833333333333,184320.0
44,3,2,1,140.0,-17.715736,-63.162617,160000.0,Barrio Santa Isabel.,Distrito 5,260.0,1142.857142857143,36400.0
46,7,7,2,600.0,-17.759588,-63.169617,465000.0,Barrio Chino,Distrito 2,756.0,775.0,453600.0
47,7,4,5,580.0,-17.808952,-63.153252,418998.0,Barrio Polanco,Distrito Municipal 3,544.0,722.4103448275862,315520.0
49,5,4,2,353.0,-17.755962,-63.165638,299000.0,Barrio Chino,Distrito 2,267.0,847.0254957507082,94251.0
50,5,4,2,385.0,-17.792887,-63.197533,260000.0,BARRIO URBARI,Distrito Municipal 4Â ,243.0,675.3246753246754,93555.0
52,3,3,2,135.0,-17.693026,-63.169579,90000.0,Barrio Santa Isabel.,Distrito 5,178.0,666.6666666666666,24030.0
53,3,3,2,182.0,-17.761173,-63.229401,159000.0,Desconocido,Desconocido,244.0,873.6263736263736,44408.0
54,4,3,2,132.0,-17.709438,-63.159763,99000.0,Barrio Santa Isabel.,Distrito 5,132.0,750.0,17424.0
55,3,3,3,170.0,-17.716015,-63.139198,168000.0,Barrio Santa Isabel.,Distrito 5,318.0,988.2352941176471,54060.0
56,4,4,3,300.0,-17.774776,-63.158028,285000.0,Barrio Chino,Distrito 2,384.0,950.0,115200.0
57,4,5,4,360.0,-17.755239,-63.244968,245000.0,Desconocido,Desconocido,430.0,680.5555555555555,154800.0
59,4,2,2,135.0,-17.67975,-63.144222,119000.0,Desconocido,Desconocido,210.0,881.4814814814815,28350.0
61,4,5,3,500.0,-17.68981,-63.161343,280000.0,Barrio Santa Isabel.,Distrito 5,320.0,560.0,160000.0
64,4,6,4,410.0,-17.702757,-63.153378,335000.0,Barrio Santa Isabel.,Distrito 5,450.0,817.0731707317074,184500.0
65,4,5,2,363.0,-17.766132,-63.201496,495000.0,BARRIO EQUIPETROL,Distrito Municipal 1,280.0,1363.6363636363637,101640.0
67,4,3,2,480.0,-17.712418,-63.167095,295000.0,Barrio Santa Isabel.,Distrito 5,408.0,614.5833333333334,195840.0
68,3,2,0,120.0,-17.816675,-63.235619,110000.0,Desconocido,Desconocido,185.0,916.6666666666666,22200.0
69,4,3,2,307.0,-17.817822,-63.184364,255000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,301.0,830.6188925081433,92407.0
70,3,3,2,228.0,-17.739101,-63.178337,285000.0,Barrio Santa Isabel.,Distrito 5,224.0,1250.0,51072.0
71,3,4,2,207.0,-17.740124,-63.187992,160000.0,Barrio Santa Isabel.,Distrito 5,232.0,772.9468599033817,48024.0
72,4,7,2,524.0,-17.792269,-63.168575,327075.0,Barrio Lindo,Distrito 11,384.0,624.1889312977099,201216.0
73,3,4,2,210.0,-17.842943,-63.249725,142000.0,Desconocido,Desconocido,360.0,676.1904761904761,75600.0
75,5,7,4,475.0,-17.762953,-63.222942,1100000.0,Desconocido,Desconocido,799.0,2315.7894736842104,379525.0
76,3,4,2,330.0,-17.749254,-63.234188,235000.0,Desconocido,Desconocido,330.0,712.1212121212121,108900.0
77,3,3,2,245.0,-17.766569,-63.223179,250000.0,Desconocido,Desconocido,399.0,1020.4081632653061,97755.0
78,3,4,6,840.0,-17.762585,-63.236748,410000.0,Desconocido,Desconocido,420.0,488.0952380952381,352800.0
79,3,3,2,160.0,-17.696196,-63.15395,109000.0,Barrio Santa Isabel.,Distrito 5,252.0,681.25,40320.0
80,6,6,2,432.0,-17.747164,-63.156128,239000.0,Barrio Santa Isabel.,Distrito 5,453.0,553.2407407407408,195696.0
81,3,4,2,214.0,-17.7868,-63.220955,175000.0,Desconocido,Desconocido,214.0,817.7570093457944,45796.0
83,4,4,3,337.0,-17.702665,-63.153355,285000.0,Barrio Santa Isabel.,Distrito 5,770.0,845.6973293768546,259490.0
84,3,5,4,401.0,-17.811907,-63.229355,798000.0,Desconocido,Desconocido,570.0,1990.0249376558604,228570.0
85,4,4,2,420.0,-17.797323,-63.212589,270000.0,BARRIO URBARI,Distrito Municipal 4Â ,240.0,642.8571428571429,100800.0
86,3,2,2,115.0,-17.754711,-63.064362,62000.0,Barrio San Jorge,Distrito 6,349.0,539.1304347826087,40135.0
88,4,4,3,320.0,-17.758577,-63.236172,380000.0,Desconocido,Desconocido,501.0,1187.5,160320.0
89,4,2,4,280.0,-17.842651,-63.178833,180000.0,Barrio Transportista,Distrito 9Â ,582.0,642.8571428571429,162960.0
90,3,3,2,144.0,-17.808495,-63.227917,150000.0,Desconocido,Desconocido,265.0,1041.6666666666667,38160.0
91,4,4,2,265.0,-17.789253,-63.222973,187500.0,Desconocido,Desconocido,275.0,707.5471698113207,72875.0
92,4,5,1,386.0,-17.769693,-63.109882,213000.0,Barrio las Pampita,Distrito 6,450.0,551.8134715025907,173700.0
96,4,4,2,303.0,-17.75773,-63.242844,250000.0,Desconocido,Desconocido,627.0,825.0825082508251,189981.0
97,3,4,3,179.0,-17.770327,-63.167564,259900.0,Barrio Chino,Distrito 2,500.0,1451.95530726257,89500.0
99,4,4,1,124.0,-17.817007,-63.236191,155000.0,Desconocido,Desconocido,205.0,1250.0,25420.0
100,3,2,1,233.0,-17.700815,-63.177635,130000.0,Barrio Santa Isabel.,Distrito 5,107.0,557.9399141630902,24931.0
101,4,5,4,440.0,-17.757706,-63.221889,538000.0,Desconocido,Desconocido,943.0,1222.7272727272727,414920.0
102,4,6,4,818.0,-17.751375,-63.217854,850000.0,Desconocido,Desconocido,909.0,1039.119804400978,743562.0
103,3,5,2,348.0,-17.786076,-63.21619,250000.0,Barrio Irma Suarez,Distrito Municipal 1,210.0,718.3908045977012,73080.0
104,3,2,2,113.0,-17.858507,-63.217571,60000.0,Desconocido,Desconocido,176.0,530.9734513274336,19888.0
105,4,4,2,230.0,-17.698566,-63.158756,135000.0,Barrio Santa Isabel.,Distrito 5,301.0,586.9565217391304,69230.0
107,3,2,2,120.0,-17.787155,-63.073242,57000.0,Barrio El Condado,Distrito 7,280.0,475.0,33600.0
109,3,5,2,298.0,-17.820229,-63.222076,225000.0,Barrio el periodista,Distrito 10,301.0,755.0335570469799,89698.0
110,4,3,4,236.0,-17.70248,-63.165207,175000.0,Barrio Santa Isabel.,Distrito 5,229.0,741.5254237288135,54044.0
111,4,7,5,500.0,-17.738491,-63.165871,500000.0,Barrio Santa Isabel.,Distrito 5,445.0,1000.0,222500.0
112,4,4,4,400.0,-17.76281,-63.236565,370000.0,Desconocido,Desconocido,550.0,925.0,220000.0
113,4,4,4,387.0,-17.777121,-63.148037,235000.0,Barrio Chino,Distrito 2,408.0,607.235142118863,157896.0
114,4,4,2,190.0,-17.748974,-63.22953,156000.0,Desconocido,Desconocido,168.0,821.0526315789474,31920.0
115,4,3,4,247.0,-17.702164,-63.17841,145000.0,Barrio Santa Isabel.,Distrito 5,303.0,587.0445344129555,74841.0
116,3,3,1,208.0,-17.719328,-63.179283,125000.0,Barrio Santa Isabel.,Distrito 5,120.0,600.9615384615385,24960.0
117,4,3,2,290.0,-17.703453,-63.170101,245000.0,Barrio Santa Isabel.,Distrito 5,290.0,844.8275862068965,84100.0
118,8,3,5,232.0,-17.8125,-63.143879,105000.0,Barrio San Francisco,Distrito 8,425.0,452.58620689655174,98600.0
120,4,6,6,573.0,-17.750118,-63.221245,548000.0,Desconocido,Desconocido,838.0,956.369982547993,480174.0
121,4,6,2,397.0,-17.769041,-63.154781,295000.0,Barrio Chino,Distrito 2,330.0,743.0730478589421,131010.0
123,4,6,4,409.0,-17.757698,-63.198536,580000.0,Barrio el Manchon,Distrito Municipal 1,562.0,1418.0929095354522,229858.0
124,5,6,4,534.0,-17.755331,-63.238285,240000.0,Desconocido,Desconocido,338.0,449.438202247191,180492.0
126,5,6,2,368.0,-17.807301,-63.210766,620000.0,BARRIO URBARI,Distrito Municipal 4Â ,669.0,1684.7826086956522,246192.0
127,3,3,2,201.0,-17.733316,-63.192497,165000.0,Desconocido,Desconocido,300.0,820.8955223880597,60300.0
128,3,3,2,180.0,-17.695139,-63.169609,125000.0,Barrio Santa Isabel.,Distrito 5,160.0,694.4444444444445,28800.0
129,4,5,2,313.0,-17.745337,-63.175457,580000.0,Barrio el Manchon,Distrito Municipal 1,550.0,1853.035143769968,172150.0
132,3,4,6,420.0,-17.75717,-63.221203,450000.0,Desconocido,Desconocido,840.0,1071.4285714285713,352800.0
133,5,7,2,480.0,-17.748144,-63.175568,590000.0,Barrio el Manchon,Distrito Municipal 1,453.0,1229.1666666666667,217440.0
134,3,3,2,134.0,-17.819418,-63.233227,128000.0,Barrio los Olivos,Distrito 10,170.0,955.223880597015,22780.0
135,3,2,2,105.0,-17.856586,-63.247501,69500.0,Desconocido,Desconocido,200.0,661.9047619047619,21000.0
136,3,4,2,303.0,-17.756863,-63.238411,350000.0,Desconocido,Desconocido,541.0,1155.1155115511551,163923.0
138,3,3,3,250.0,-17.743599,-63.222878,265000.0,Desconocido,Desconocido,471.0,1060.0,117750.0
139,3,3,2,159.0,-17.816189,-63.235931,135000.0,Desconocido,Desconocido,195.0,849.0566037735849,31005.0
140,3,4,2,367.0,-17.721985,-63.16143,239000.0,Barrio Santa Isabel.,Distrito 5,289.0,651.2261580381471,106063.0
141,4,5,4,475.0,-17.758789,-63.235893,435000.0,Desconocido,Desconocido,450.0,915.7894736842105,213750.0
142,4,6,3,497.0,-17.7624,-63.236652,430000.0,Desconocido,Desconocido,602.0,865.1911468812878,299194.0
143,3,3,2,168.0,-17.766342,-63.150875,110000.0,Barrio Chino,Distrito 2,150.0,654.7619047619048,25200.0
144,4,5,4,475.0,-17.758619,-63.236122,465000.0,Desconocido,Desconocido,450.0,978.9473684210526,213750.0
145,3,5,1,372.0,-17.715965,-63.167782,290000.0,Barrio Santa Isabel.,Distrito 5,369.0,779.5698924731183,137268.0
146,4,4,2,222.0,-17.69479,-63.170044,189000.0,Barrio Santa Isabel.,Distrito 5,186.0,851.3513513513514,41292.0
147,3,4,3,457.0,-17.844065,-63.191402,278000.0,Barrio Saguapac sur,Distrito 9Â ,205.0,608.3150984682713,93685.0
148,3,4,2,240.0,-17.685719,-63.152317,110900.0,Barrio Santa Isabel.,Distrito 5,180.0,462.0833333333333,43200.0
149,6,5,2,464.0,-17.796209,-63.206238,271120.0,BARRIO URBARI,Distrito Municipal 4Â ,599.0,584.3103448275862,277936.0
150,3,4,2,383.0,-17.792549,-63.195148,365000.0,BARRIO URBARI,Distrito Municipal 4Â ,586.0,953.0026109660574,224438.0
151,3,3,2,120.0,-17.711517,-63.174908,99000.0,Barrio Santa Isabel.,Distrito 5,150.0,825.0,18000.0
152,5,2,4,320.0,-17.75819,-63.235924,295000.0,Desconocido,Desconocido,450.0,921.875,144000.0
153,5,3,4,225.0,-17.71949,-63.159973,165000.0,Barrio Santa Isabel.,Distrito 5,548.0,733.3333333333334,123300.0
154,7,8,6,514.0,-17.769796,-63.225494,620000.0,Desconocido,Desconocido,887.0,1206.2256809338521,455918.0
156,3,4,2,314.0,-17.755146,-63.237984,265000.0,Desconocido,Desconocido,471.0,843.9490445859873,147894.0
157,3,4,2,207.0,-17.740124,-63.188122,160000.0,Barrio Santa Isabel.,Distrito 5,232.0,772.9468599033817,48024.0
159,3,5,2,250.0,-17.755125,-63.223263,215000.0,Desconocido,Desconocido,280.0,860.0,70000.0
161,5,4,3,470.0,-17.769102,-63.225407,450000.0,Desconocido,Desconocido,883.0,957.4468085106383,415010.0
162,3,4,2,210.0,-17.709669,-63.167912,135000.0,Barrio Santa Isabel.,Distrito 5,233.0,642.8571428571429,48930.0
163,6,7,1,410.0,-17.764162,-63.167488,309000.0,Barrio Chino,Distrito 2,229.0,753.6585365853658,93890.0
164,4,3,2,250.0,-17.703093,-63.180805,164998.0,Barrio Santa Isabel.,Distrito 5,270.0,659.992,67500.0
165,3,3,2,288.0,-17.735008,-63.165146,280000.0,Barrio Santa Isabel.,Distrito 5,377.0,972.2222222222222,108576.0
166,5,5,4,571.0,-17.731726,-63.173225,430000.0,Barrio Santa Isabel.,Distrito 5,525.0,753.0647985989492,299775.0
168,4,4,2,363.0,-17.766531,-63.201412,495000.0,BARRIO EQUIPETROL,Distrito Municipal 1,294.0,1363.6363636363637,106722.0
169,3,2,2,100.0,-17.787457,-63.107162,65000.0,Barrio El Condado,Distrito 7,374.0,650.0,37400.0
170,4,7,3,450.0,-17.759956,-63.23407,399000.0,Desconocido,Desconocido,450.0,886.6666666666666,202500.0
171,5,4,4,298.0,-17.75355,-63.187775,200000.0,Barrio el Manchon,Distrito Municipal 1,413.0,671.1409395973154,123074.0
172,5,4,2,245.0,-17.714069,-63.186535,185000.0,Barrio Santa Isabel.,Distrito 5,360.0,755.1020408163265,88200.0
173,4,3,1,280.0,-17.772804,-63.187225,249000.0,Barrio Panamericano,Distrito 11,222.0,889.2857142857143,62160.0
174,3,5,2,172.0,-17.718925,-63.17868,165000.0,Barrio Santa Isabel.,Distrito 5,190.0,959.3023255813954,32680.0
175,5,5,2,400.0,-17.712418,-63.167007,170000.0,Barrio Santa Isabel.,Distrito 5,315.0,425.0,126000.0
176,3,3,2,197.0,-17.782724,-63.209839,165000.0,Barrio Santa Rosa,Distrito Municipal 1,180.0,837.5634517766498,35460.0
177,4,5,4,466.0,-17.769878,-63.225624,399000.0,Desconocido,Desconocido,658.0,856.2231759656653,306628.0
178,5,4,2,170.0,-17.817701,-63.23061,160000.0,Barrio los Olivos,Distrito 10,160.0,941.1764705882352,27200.0
179,3,3,2,135.0,-17.692966,-63.169647,90000.0,Barrio Santa Isabel.,Distrito 5,178.0,666.6666666666666,24030.0
180,3,3,2,238.0,-17.749039,-63.234413,165000.0,Desconocido,Desconocido,240.0,693.2773109243698,57120.0
181,4,4,2,242.0,-17.761337,-63.229313,229000.0,Desconocido,Desconocido,412.0,946.2809917355372,99704.0
182,5,6,2,633.0,-17.742903,-63.166191,460000.0,Barrio Santa Isabel.,Distrito 5,300.0,726.698262243286,189900.0
183,3,3,2,127.0,-17.685768,-63.175125,75000.0,Barrio Santa Isabel.,Distrito 5,180.0,590.5511811023622,22860.0
184,3,4,4,303.0,-17.757748,-63.242821,250000.0,Desconocido,Desconocido,627.0,825.0825082508251,189981.0
185,5,4,2,420.0,-17.778105,-63.209949,345300.0,Barrio Santa Rosa,Distrito Municipal 1,360.0,822.1428571428571,151200.0
186,3,4,3,223.0,-17.762318,-63.236652,230000.0,Desconocido,Desconocido,400.0,1031.3901345291479,89200.0
188,3,3,2,285.0,-17.72086,-63.157726,305000.0,Barrio Santa Isabel.,Distrito 5,230.0,1070.1754385964912,65550.0
189,3,3,2,120.0,-17.705931,-63.145359,87500.0,Barrio Santa Isabel.,Distrito 5,180.0,729.1666666666666,21600.0
190,4,2,2,217.0,-17.846247,-63.159775,100000.0,Barrio Casa Nova II,Distrito 12,360.0,460.8294930875576,78120.0
191,3,2,2,190.0,-17.707451,-63.165745,180001.0,Barrio Santa Isabel.,Distrito 5,376.0,947.3736842105263,71440.0
192,4,2,4,285.0,-17.727278,-63.175476,150000.0,Barrio Santa Isabel.,Distrito 5,400.0,526.3157894736842,114000.0
194,4,3,4,200.0,-17.881882,-63.271847,125000.0,Desconocido,Desconocido,650.0,625.0,130000.0
195,4,6,4,435.0,-17.726839,-63.231758,460000.0,Desconocido,Desconocido,787.0,1057.471264367816,342345.0
197,4,3,2,205.0,-17.745035,-63.090946,92000.0,Barrio La Purisima,Distrito 6,183.0,448.780487804878,37515.0
198,3,2,2,171.0,-17.704601,-63.221115,165000.0,Desconocido,Desconocido,150.0,964.9122807017544,25650.0
202,3,3,2,145.0,-17.767467,-63.239227,89000.0,Desconocido,Desconocido,300.0,613.7931034482758,43500.0
203,4,4,2,340.0,-17.743801,-63.169903,165000.0,Barrio Santa Isabel.,Distrito 5,245.0,485.29411764705884,83300.0
204,5,5,5,353.0,-17.763292,-63.20298,350000.0,Barrio el Manchon,Distrito Municipal 1,350.0,991.5014164305949,123550.0
205,4,3,2,157.0,-17.752815,-63.231739,170000.0,Desconocido,Desconocido,210.0,1082.8025477707006,32970.0
206,4,7,4,470.0,-17.731152,-63.171944,380000.0,Barrio Santa Isabel.,Distrito 5,380.0,808.5106382978723,178600.0
207,4,6,2,350.0,-17.761953,-63.222263,240000.0,Desconocido,Desconocido,534.0,685.7142857142857,186900.0
208,3,3,2,120.0,-17.705925,-63.145493,87500.0,Barrio Santa Isabel.,Distrito 5,180.0,729.1666666666666,21600.0
209,3,2,4,139.0,-17.819832,-63.220734,142000.0,Barrio el periodista,Distrito 10,456.0,1021.5827338129496,63384.0
210,3,4,3,452.0,-17.79253,-63.16906,198000.0,Barrio Lindo,Distrito 11,400.0,438.05309734513276,180800.0
211,5,5,4,451.0,-17.76347,-63.173439,690000.0,Barrio Chino,Distrito 2,683.0,1529.9334811529934,308033.0
213,4,5,4,300.0,-17.71513,-63.159481,375000.0,Barrio Santa Isabel.,Distrito 5,464.0,1250.0,139200.0
214,3,2,2,166.0,-17.762903,-63.081997,70000.0,Barrio San Jorge,Distrito 6,295.0,421.68674698795184,48970.0
215,3,3,2,120.0,-17.72064,-63.167473,135000.0,Barrio Santa Isabel.,Distrito 5,120.0,1125.0,14400.0
216,3,2,2,120.0,-17.864836,-63.150616,59900.0,Barrio 25 De Junio,Distrito 12,180.0,499.1666666666667,21600.0
217,4,5,4,309.0,-17.733339,-63.250179,249000.0,Desconocido,Desconocido,721.0,805.8252427184466,222789.0
218,3,3,2,156.0,-17.840364,-63.238903,130000.0,Desconocido,Desconocido,161.0,833.3333333333334,25116.0
219,3,3,2,141.0,-17.680855,-63.183315,82899.0,Desconocido,Desconocido,183.0,587.936170212766,25803.0
220,4,3,2,314.0,-17.762789,-63.236504,268000.0,Desconocido,Desconocido,450.0,853.5031847133758,141300.0
222,6,3,2,290.0,-17.786379,-63.202091,280000.0,Barrio Santa Rosa,Distrito Municipal 1,330.0,965.5172413793103,95700.0
223,3,3,3,421.0,-17.708723,-63.168297,170000.0,Barrio Santa Isabel.,Distrito 5,421.0,403.80047505938245,177241.0
224,4,2,0,202.0,-17.784061,-63.172977,249000.0,Barrio Lindo,Distrito 11,307.0,1232.6732673267327,62014.0
225,4,3,2,160.0,-17.684361,-63.17852,99856.32,Barrio Santa Isabel.,Distrito 5,160.0,624.1020000000001,25600.0
226,3,4,2,234.0,-17.722637,-63.167675,320000.0,Barrio Santa Isabel.,Distrito 5,325.0,1367.5213675213674,76050.0
227,3,4,2,282.0,-17.799746,-63.197662,350000.0,BARRIO URBARI,Distrito Municipal 4Â ,288.0,1241.1347517730496,81216.0
228,3,4,2,190.0,-17.815741,-63.235329,124900.0,Desconocido,Desconocido,160.0,657.3684210526316,30400.0
230,3,4,3,290.0,-17.761763,-63.232803,135000.0,Desconocido,Desconocido,290.0,465.51724137931035,84100.0
232,3,3,2,140.0,-17.703089,-63.185368,109000.0,Barrio Santa Isabel.,Distrito 5,160.0,778.5714285714286,22400.0
233,4,4,2,260.0,-17.77277,-63.201511,360000.0,BARRIO EQUIPETROL,Distrito Municipal 1,208.0,1384.6153846153845,54080.0
235,3,3,2,304.38,-17.722162,-63.152637,110000.0,Barrio Santa Isabel.,Distrito 5,240.0,361.39036730402785,73051.2
236,3,3,2,127.0,-17.685781,-63.175091,75000.0,Barrio Santa Isabel.,Distrito 5,180.0,590.5511811023622,22860.0
237,5,5,4,624.0,-17.817238,-63.215042,470000.0,Barrio California,Distrito 10,622.0,753.2051282051282,388128.0
238,4,3,2,185.0,-17.694061,-63.169579,125000.0,Barrio Santa Isabel.,Distrito 5,160.0,675.6756756756756,29600.0
239,3,3,2,300.0,-17.771606,-63.199581,170000.0,BARRIO EQUIPETROL,Distrito Municipal 1,190.0,566.6666666666666,57000.0
242,3,3,2,208.0,-17.770006,-63.102448,100000.0,Barrio las Pampita,Distrito 6,489.0,480.7692307692308,101712.0
243,5,5,5,440.0,-17.757824,-63.218369,350000.0,Desconocido,Desconocido,400.0,795.4545454545455,176000.0
244,8,5,2,476.0,-17.785675,-63.173374,528000.0,Barrio Lindo,Distrito 11,392.0,1109.2436974789916,186592.0
245,4,4,3,270.0,-17.798571,-63.220657,244000.0,Barrio Irma Suarez,Distrito Municipal 1,315.0,903.7037037037037,85050.0
247,4,6,3,337.0,-17.716354,-63.149437,265000.0,Barrio Santa Isabel.,Distrito 5,248.0,786.3501483679526,83576.0
250,5,6,2,413.0,-17.755512,-63.242619,328000.0,Desconocido,Desconocido,765.0,794.1888619854722,315945.0
252,3,3,2,154.0,-17.759413,-63.091206,86000.0,Barrio San Jorge,Distrito 6,300.0,558.4415584415584,46200.0
253,5,3,0,268.0,-17.784372,-63.175274,198000.0,Barrio Lindo,Distrito 11,220.0,738.8059701492538,58960.0
254,4,6,2,473.0,-17.748318,-63.175312,585000.0,Barrio el Manchon,Distrito Municipal 1,486.0,1236.7864693446088,229878.0
255,3,3,2,210.0,-17.689646,-63.147957,135000.0,Barrio Santa Isabel.,Distrito 5,206.0,642.8571428571429,43260.0
256,3,2,2,287.0,-17.753567,-63.227386,210000.0,Desconocido,Desconocido,224.0,731.7073170731708,64288.0
257,3,3,2,205.0,-17.707022,-63.163662,138000.0,Barrio Santa Isabel.,Distrito 5,360.0,673.170731707317,73800.0
258,4,4,2,204.0,-17.7138,-63.172226,240000.0,Barrio Santa Isabel.,Distrito 5,204.0,1176.4705882352941,41616.0
260,5,5,2,398.0,-17.710201,-63.16922,170000.0,Barrio Santa Isabel.,Distrito 5,315.0,427.1356783919598,125370.0
262,4,5,0,450.0,-17.745213,-63.216747,520000.0,Desconocido,Desconocido,765.0,1155.5555555555557,344250.0
263,5,5,4,450.0,-17.764606,-63.174313,690000.0,Barrio Chino,Distrito 2,683.0,1533.3333333333333,307350.0
264,4,5,3,410.0,-17.703669,-63.152931,355000.0,Barrio Santa Isabel.,Distrito 5,450.0,865.8536585365854,184500.0
265,3,4,2,300.0,-17.716089,-63.168228,239500.0,Barrio Santa Isabel.,Distrito 5,300.0,798.3333333333334,90000.0
266,4,4,2,288.0,-17.735065,-63.165272,280000.0,Barrio Santa Isabel.,Distrito 5,377.0,972.2222222222222,108576.0
267,3,2,2,115.0,-17.689186,-63.155041,92000.0,Barrio Santa Isabel.,Distrito 5,220.0,800.0,25300.0
268,3,2,3,173.0,-17.746183,-63.160915,175000.0,Barrio Santa Isabel.,Distrito 5,420.0,1011.5606936416185,72660.0
269,3,2,3,138.0,-17.684092,-63.152744,105000.0,Barrio Santa Isabel.,Distrito 5,224.0,760.8695652173913,30912.0
275,5,3,2,267.0,-17.805962,-63.214603,248000.0,Desconocido,Desconocido,331.0,928.8389513108614,88377.0
276,3,2,2,126.0,-17.761087,-63.10873,94000.0,Barrio La Purisima,Distrito 6,360.0,746.031746031746,45360.0
277,4,3,2,250.0,-17.755768,-63.222618,181000.0,Desconocido,Desconocido,280.0,724.0,70000.0
278,6,6,2,467.0,-17.776964,-63.167072,360000.0,Barrio Lindo,Distrito 11,838.0,770.8779443254818,391346.0
279,3,4,2,169.0,-17.791344,-63.269009,140000.0,Desconocido,Desconocido,317.0,828.4023668639053,53573.0
280,3,4,2,220.0,-17.817911,-63.234463,131000.0,Desconocido,Desconocido,150.0,595.4545454545455,33000.0
281,3,2,2,185.0,-17.795872,-63.064953,95000.0,Barrio El Condado,Distrito 7,315.0,513.5135135135135,58275.0
283,4,4,2,323.0,-17.714401,-63.165092,265000.0,Barrio Santa Isabel.,Distrito 5,456.0,820.4334365325077,147288.0
284,3,2,2,115.0,-17.708166,-63.188038,99900.0,Barrio Santa Isabel.,Distrito 5,187.0,868.695652173913,21505.0
286,5,8,4,580.0,-17.748505,-63.226353,750000.0,Desconocido,Desconocido,787.0,1293.103448275862,456460.0
287,2,4,0,200.0,-17.603506,-63.173744,110000.0,Desconocido,Desconocido,300.0,550.0,60000.0
288,3,3,3,303.0,-17.740461,-63.16304,390000.0,Barrio Santa Isabel.,Distrito 5,359.0,1287.1287128712872,108777.0
289,3,3,2,222.0,-17.722771,-63.167503,325000.0,Barrio Santa Isabel.,Distrito 5,205.0,1463.963963963964,45510.0
291,4,6,4,511.0,-17.754707,-63.221268,280000.0,Desconocido,Desconocido,511.0,547.945205479452,261121.0
292,4,6,4,315.0,-17.758512,-63.236057,348000.0,Desconocido,Desconocido,507.0,1104.7619047619048,159705.0
294,5,6,3,400.0,-17.817247,-63.210716,255000.0,Barrio Flamingo,Distrito 10,556.0,637.5,222400.0
295,3,3,2,255.0,-17.768335,-63.204365,240000.0,BARRIO EQUIPETROL,Distrito Municipal 1,255.0,941.1764705882352,65025.0
297,3,5,2,251.0,-17.788916,-63.22168,269000.0,Desconocido,Desconocido,316.0,1071.7131474103585,79316.0
299,4,6,3,457.0,-17.761988,-63.177395,360000.0,Barrio Chino,Distrito 2,762.0,787.746170678337,348234.0
300,4,6,3,340.0,-17.760641,-63.232998,180000.0,Desconocido,Desconocido,340.0,529.4117647058823,115600.0
301,4,3,2,191.0,-17.733637,-63.156452,168900.0,Barrio Santa Isabel.,Distrito 5,204.0,884.2931937172775,38964.0
303,3,3,2,150.0,-17.700439,-63.162418,179700.0,Barrio Santa Isabel.,Distrito 5,183.0,1198.0,27450.0
304,4,5,2,185.0,-17.770317,-63.168297,149900.0,Barrio Chino,Distrito 2,165.0,810.2702702702703,30525.0
305,4,3,4,364.0,-17.754082,-63.171646,1330000.0,Barrio Chino,Distrito 2,263.0,3653.846153846154,95732.0
